Product Name,Product ID,   Price (in Euro)   ,Color,Brand,SKU,Sole-Type,Sale Percentage,  Sale Price  ,Season,Size
Knee High Boots TOMMY HILFIGER,Elevated Padded Suede Boot FM0FM03778 Timber GWD,Ä 159.90,Brown,Tommy Hilfiger,208903851,Flat,New, product not in sale ,Fall/Winter,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TOMMY HILFIGER,Outdoor Sneaker Mix Runner FN0FM03274 Army Green RBN,Ä 119.90,"Brown, 
            Green",Tommy Hilfiger,208903479,Flat,-9%,Ä 109.00,All year round,"41 , 42 , 43 , 44 , 45"
Knee High Boots TOMMY HILFIGER,Elevated Padded Suede Boot FM0FM03778 Desert Sky DW5,Ä 159.90,Navy Blue,Tommy Hilfiger,208903837,Flat,New, product not in sale ,Fall/Winter,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TOMMY HILFIGER,Outdoor Sneaker Mix Runner FM0FM03274 Black BDS,Ä 119.90,Black,Tommy Hilfiger,208903462,Flat,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45"
Boots TOMMY HILFIGER,Outdoor Corporate Mix Boot FM0FM03776 Natural Cognac GTU,Ä 149.90,Brown,Tommy Hilfiger,208903813,Flat,-7%,Ä 140.00,Fall/Winter,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Hiking Boots TOMMY HILFIGER,Outdoor Corporate Mix Boot FM0FM03776 Black BDS,Ä 149.90,Black,Tommy Hilfiger,208903790,Flat,-7%,Ä 140.00,Fall/Winter,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TOMMY HILFIGER,High Sneaker Boot Leather FM0FM03273 Black BDS,Ä 139.90,Black,Tommy Hilfiger,208903448,not defined,-6%,Ä 131.00,All year round,"40 , 41 , 42 , 43 , 44 , 45"
Chelsea boots TOMMY HILFIGER,Chunky Dress Toecap Chelsea FM0FM03771 BDS,Ä 179.90,Black,Tommy Hilfiger,208903776,Flat,New, product not in sale ,Fall/Winter,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Chelsea boots TOMMY HILFIGER,Rwb Hilfiger Leather Chelsea FM0FM03770 Winter Cognac GVI,Ä 159.90,Beige,Tommy Hilfiger,208903752,not defined,-6%,Ä 150.00,Fall/Winter,"40 , 41 , 42 , 43 , 44 , 45"
Chelsea boots TOMMY HILFIGER,Rwb Hilfiger Leather Chelsea FM0FM03770 Black BDS,Ä 159.90,Black,Tommy Hilfiger,208903738,Flat,-2%,Ä 157.00,Fall/Winter,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Boots TOMMY HILFIGER,Rwb Hilfiger Mid Mix Boot FM0FM03769 Cocoa GT6,Ä 159.90,Brown,Tommy Hilfiger,208903714,Flat,-2%,Ä 157.00,Fall/Winter,"41 , 42 , 43 , 44 , 45 , 46"
Chelsea boots TOMMY HILFIGER,Technical Leather Chelsea FM0FM03767 Winter Cognac GVI,Ä 159.90,Brown,Tommy Hilfiger,208903691,Flat,-2%,Ä 157.00,Fall/Winter,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Chelsea boots TOMMY HILFIGER,Technical Leather Chelsea FM0FM03767 Black BDS,Ä 159.90,Black,Tommy Hilfiger,208903677,Flat,-12%,Ä 141.00,Fall/Winter,"41 , 42 , 43 , 44 , 45"
Shoes TOMMY HILFIGER,Signature Hilfiger Lth Shoe FM0FM03755 Winter Cognac GVI,Ä 149.90,Brown,Tommy Hilfiger,208903653,not defined,-17%,Ä 125.00,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Shoes TOMMY HILFIGER,Signature Hilfiger Lth Shoe FM0FM03755 Black BDS,Ä 149.90,Black,Tommy Hilfiger,208903639,not defined,-7%,Ä 140.00,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Shoes TOMMY HILFIGER,Signature Hilfiger Brogue Shoe FM0FM03754 Black BDS,Ä 149.90,Black,Tommy Hilfiger,208903615,not defined,-2%,Ä 147.00,All year round,"40 , 41 , 42 , 43 , 44 , 45"
Shoes TOMMY HILFIGER,Rwb Hilfiger Leather Shoe FM0FM03752 Winter Cognac GVI,Ä 149.90,Brown,Tommy Hilfiger,208903592,Flat,-7%,Ä 140.00,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Shoes TOMMY HILFIGER,Rwb Hilfiger Lether Shoe FM0FM03752 Black BDS,Ä 149.90,Black,Tommy Hilfiger,208903578,Flat,-2%,Ä 147.00,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TOMMY HILFIGER,Runner Lo Mix Ripstop FM0FM03737 Black BDS,Ä 99.90,Black,Tommy Hilfiger,208903554,not defined,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
